"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1974 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1975 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1976 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1977 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1978 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1979 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1980 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1981 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1982 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1983 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1984 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1985 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1986 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1987 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1988 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1989 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1990 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1991 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1992 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1993 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1994 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1995 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1996 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1997 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1998 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1999 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2000 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2001 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2002 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2003 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2004 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2005 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2006 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2007 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2008 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2009 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2010 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2011 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2012 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2013 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2014 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2015 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2016 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2017 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2018 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2019 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2020 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2021 (R$ mil)"
"Andr� da Rocha","4300661","-28.628299999990","-51.579700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","38","1.167","2.560","34.320","892","6","6","3","2","2","2","1","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Anta Gorda","4300703","-28.969799999990","-52.010199999990","49","224","765","376","595","1.135","4.682","2.016","2.813","6.827","17.402","69","81","336","1.412","33","1.883","0","63.525","932","6","19","9","23","23","36","29","26","23","43","18","-","16","20","24","13","33","18","18","18","10","11","11","11","11","6","6","18"
"Ant�nio Prado","4300802","-28.856500000000","-51.288300000000","38","48","86","240","274","446","756","3.458","4.200","6.186","18.720","173","282","501","2.156","22","1.440","591","34.650","686","9","5","-","1","-","-","1","1","1","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Arambar�","4300851","-30.909300000000","-51.504600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.001.123","11.851","11.072","13.624","13.518","15.883","17.674","16.128","20.127","25.517","41.549","50.873","27.631","24.499","39.864","54.164","57.500","49.884","42.076","56.011","62.651","64.386","79.417","84.751","85.915","66.820","87.331","121.847","205.813"
"Araric�","4300877","-29.616800000000","-50.929099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","0","1","1","1","1","1","2","5","3","1","1","1","1","1","1","1","3","3","3","3","4","3","-","-","-"
"Aratiba","4300901","-27.397800000000","-52.297499999990","201","714","882","953","864","-","2.503","5.236","6.075","21.158","54.912","163","366","523","2.743","102","2.312","1.110","77.574","1.497","8","13","17","20","11","4","3","6","4","6","1","-","13","13","14","2","16","22","2","-","-","-","-","-","-","-","-","-"
"Arroio do Meio","4301008","-29.401399999990","-51.955700000000","136","111","120","162","263","264","498","4.254","2.880","10.000","40.762","127","233","1.054","4.586","39","990","2.374","31.164","155","6","8","6","6","7","4","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Arroio do Padre","4301073","-31.431600000000","-52.417099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Arroio do Sal","4301057","-29.543900000000","-49.889499999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","45","1.920","14.288","88.550","1.265","16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Arroio do Tigre","4301206","-29.334800000000","-53.096600000000","68","192","171","535","170","1.506","1.500","2.503","4.826","9.100","50.200","169","41","1.750","2.954","214","10.509","1.246","256.200","5.952","58","52","21","21","10","28","23","35","22","27","20","-","6","14","19","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Arroio dos Ratos","4301107","-30.087500000000","-51.727499999990","516","334","320","1.590","2.234","1.980","2.112","8.330","26.480","40.330","121.380","423","970","1.708","12.558","53","1.331","13.114","177.600","3.780","63","44","26","44","62","87","74","72","142","11","-","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Arroio Grande","4301305","-32.232700000000","-53.086199999990","77.344","122.261","132.560","208.880","253.110","413.700","1.092.420","2.096.514","5.292.000","9.648.288","25.139.280","86.171","244.843","699.764","3.327.426","39.822","749.250","12.080.000","128.945.000","1.775.668","37.706","39.991","38.025","39.470","48.446","61.600","43.451","66.643","53.760","100.798","116.640","86.556","82.875","112.242","123.883","155.730","139.490","140.970","137.770","171.124","194.102","239.968","249.454","295.226","245.960","191.390","255.970","530.518"
"Arvorezinha","4301404","-28.873699999990","-52.178100000000","43","730","1.235","1.223","1.705","1.231","15.525","8.400","11.525","36.905","134.000","465","675","2.958","6.080","99","4.396","9.767","149.380","972","8","23","7","9","9","7","3","3","3","6","5","-","5","6","7","7","13","7","4","3","3","4","4","4","5","2","2","3"
"Augusto Pestana","4301503","-28.517299999990","-53.988300000000","82","270","270","278","-","383","950","1.051","1.125","35.396","61.460","245","621","1.499","9.779","27","6.217","9.274","97.059","1.732","15","11","3","10","8","2","1","3","4","7","6","2","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"�urea","4301552","-27.693600000000","-52.050500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","118","4.993","0","253.878","2.600","21","34","18","18","8","11","9","6","1","2","1","-","3","4","21","15","12","27","5","18","9","45","48","28","5","-","-","-"
"Bag�","4301602","-31.329699999990","-54.099899999990","7.788","23.040","59.065","81.000","208.680","268.485","742.500","1.074.060","3.037.500","6.283.788","33.390.000","82.311","163.200","446.553","1.700.000","29.673","159.662","6.328.125","67.732.845","1.973.376","11.163","18.337","24.196","19.591","27.728","35.410","21.204","23.436","24.735","38.885","48.850","33.107","24.438","10.761","33.478","39.459","46.377","42.111","30.494","53.206","52.410","53.513","67.372","69.125","51.642","52.951","64.665","128.154"
"Balne�rio Pinhal","4301636","-30.241900000000","-50.233600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","600","944","549","450","508","547","981","1.065","695","755","616","1.008","846","534","78","-","1.939","2.215","1.746","1.717","2.658","3.085","3.468","3.386","6.464"
"Bar�o","4301651","-29.372500000000","-51.494900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","60","1.868","2.000","150.410","2.644","17","35","12","3","8","8","7","6","9","14","6","3","3","3","4","4","4","3","3","3","5","3","3","2","4","1","1","1"
"Bar�o de Cotegipe","4301701","-27.620799999990","-52.379800000000","527","1.728","1.570","1.985","1.080","-","1.848","4.182","5.063","28.235","62.400","156","341","476","882","39","1.110","2.072","67.701","1.812","15","30","15","15","25","15","15","15","13","16","11","15","21","31","56","8","21","16","5","9","5","4","-","-","-","-","-","-"
"Bar�o do Triunfo","4301750","-30.389099999990","-51.738399999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","5.670","118","101","120","220","340","425","425","270","340","504","640","422","240","300","235","455","558","758","1.295","1.450","1.374","1.428","1.415","1.628","1.069","1.875","1.674","3.143"
"Barra do Guarita","4301859","-27.192699999990","-53.710900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","141","2","6","3","8","9","4","5","9","9","20","18","8","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Barra do Quara�","4301875","-30.202900000000","-57.549700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","29.303","31.574","42.785","24.543","38.212","53.512","72.746","83.953","56.488","74.913","52.109","97.126","92.333","101.325","63.885","87.427","111.154","125.776","155.188","146.182","177.333","137.213","134.138","159.098","381.731"
"Barra do Ribeiro","4301909","-30.293900000000","-51.301400000000","14.976","14.515","25.311","30.800","49.307","63.107","150.047","549.609","1.193.500","2.334.304","8.617.200","34.954","89.535","205.884","1.394.000","17.418","522.200","2.839.683","18.500.793","575.020","4.237","5.686","10.101","6.639","8.859","10.813","11.308","11.794","20.566","34.259","38.762","18.223","23.065","34.118","50.744","50.704","52.287","43.681","53.958","57.421","61.062","64.107","75.002","77.781","69.052","70.109","101.844","184.686"
"Barra do Rio Azul","4301925","-27.406800000000","-52.408400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","670","5","9","9","3","11","3","2","3","2","4","2","-","7","6","13","6","1","2","1","1","1","-","-","-","-","-","-","-"
"Barra Funda","4301958","-27.920500000000","-53.039099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","244","3","5","4","4","4","6","6","6","7","9","9","3","5","5","6","4","-","-","-","-","-","-","-","-","-","2","1","4"
"Barrac�o","4301800","-27.673900000000","-51.458599999990","144","400","640","1.113","258","51","1.966","4.180","7.892","43.381","115.020","356","701","1.452","15.708","104","6.449","5.982","542.408","8.550","17","18","14","53","53","60","50","55","57","21","11","2","11","8","9","5","1","2","-","-","-","-","-","-","-","-","-","-"
"Barros Cassal","4302006","-29.094700000000","-52.583599999990","19","500","400","1.060","353","432","1.800","5.160","6.288","29.280","126.360","816","724","1.059","4.996","118","4.480","12.600","285.600","2.388","30","41","21","24","27","25","23","33","48","81","48","5","40","40","24","24","27","27","25","35","21","22","-","-","-","-","-","-"
"Benjamin Constant do Sul","4302055","-27.508600000000","-52.599499999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2","2","1","1","1","1","2","1","-","3","4","6","8","3","4","1","1","1","1","1","1","2","3","-","-"
"Bento Gon�alves","4302105","-29.166200000000","-51.516500000000","66","98","225","356","403","588","2.112","1.944","3.480","15.824","78.900","189","184","756","3.915","58","2.153","-","118.300","2.211","10","17","0","2","4","1","1","1","1","2","2","1","1","1","2","1","1","1","1","1","1","1","1","-","-","-","-","-"
"Boa Vista das Miss�es","4302154","-27.667100000000","-53.310200000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.010","17","20","4","15","19","20","21","20","21","30","45","24","33","32","30","30","9","10","4","4","5","2","15","11","12","12","12","11"
"Boa Vista do Buric�","4302204","-27.669300000000","-54.108199999990","90","306","324","385","292","189","1.661","1.908","1.968","3.750","18.000","55","74","304","1.276","22","142","806","5.044","40","1","1","0","1","1","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Boa Vista do Cadeado","4302220","-28.571600000000","-53.813800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","46","57","151","37","-","26","21","22","28","7","5","-","-","-","-","-","-","-","-","-","-"
"Boa Vista do Incra","4302238","-28.809200000000","-53.387400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","12","19","30","18","1","12","10","12","14","16","11","6","-","-","-","-","-","-","-","-","-"
"Boa Vista do Sul","4302253","-29.354399999990","-51.668700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","0","0","0","1","1","1","1","1","1","1","1","1","1","0","-","-","-","-","-","-","-","-","-","-"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","-","-","-","-","-","-","-","58","350","405","1.220","5","12","24","96","3","89","225","2.310","33","1","1","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Bom Princ�pio","4302352","-29.485600000000","-51.354799999990","...","...","...","...","...","...","...","...","...","31.757","38.080","200","285","380","3.360","10","790","5.060","50.053","1.147","11","13","6","18","23","11","10","9","13","18","0","-","-","-","-","6","6","6","6","5","5","5","12","17","6","8","10","30"
"Bom Progresso","4302378","-27.539899999990","-53.871600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","320","5","7","3","10","9","10","10","8","8","16","21","8","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Bom Retiro do Sul","4302402","-29.608599999990","-51.946399999990","848","480","1.879","2.457","4.422","1.030","7.920","5.250","14.400","46.129","18.240","109","244","763","7.412","113","2.756","11.753","83.584","644","20","52","30","132","5","-","-","-","-","50","61","32","14","24","56","39","24","20","191","161","131","160","200","174","179","177","107","206"
"Boqueir�o do Le�o","4302451","-29.304600000000","-52.428400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","48","1.375","0","74.789","833","27","28","23","16","16","15","14","17","20","40","24","5","17","17","10","10","12","16","24","10","11","9","15","7","6","7","7","16"
"Bossoroca","4302501","-28.729099999990","-54.903500000000","1.505","1.820","1.435","3.844","5.890","12.600","45.340","12.120","66.200","193.087","511.742","1.624","2.351","6.225","26.686","197","9.455","116.298","638.975","21.038","136","240","229","315","453","516","741","337","429","123","406","355","83","122","271","372","363","-","-","-","-","-","-","-","-","-","-","-"
"Bozano","4302584","-28.367460000000","-53.772239999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","7","10","17","8","1","7","8","7","6","6","5","4","-","-","-","-","-","-","-","-","-"
"Braga","4302600","-27.617300000000","-53.740499999990","37","97","121","146","132","-","1.120","2.464","1.800","7.027","20.628","98","21","557","2.262","43","1.151","3.491","58.520","2.725","45","58","8","80","88","74","77","19","21","26","42","9","6","6","3","3","1","-","-","-","-","-","-","-","-","-","-","-"
"Brochier","4302659","-29.550100000000","-51.594499999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","161","539","3.450","39.516","483","5","5","4","9","9","7","7","1","2","2","3","1","3","4","5","7","7","7","7","6","7","6","3","3","2","2","4","3"
"Buti�","4302709","-30.117899999990","-51.960099999990","6.948","11.841","14.443","29.078","49.860","26.315","68.640","138.320","384.800","1.008.569","3.713.850","10.994","32.670","52.307","300.000","7.724","203.969","1.302.168","5.328.000","45.108","790","720","576","660","780","1.430","1.201","1.213","2.333","2.835","3.488","770","1.920","3.147","3.999","6.417","3.575","4.279","4.209","5.050","5.058","5.627","6.245","4.098","5.751","6.658","1.320","12.905"
"Ca�apava do Sul","4302808","-30.514399999990","-53.482700000000","6.791","10.972","18.700","16.204","28.490","31.834","148.400","176.400","624.000","669.186","2.741.301","10.688","6.085","17.108","450.720","6.894","293.001","1.124.082","11.425.440","455.024","2.369","4.332","4.077","5.223","4.556","6.693","3.541","6.624","6.054","7.425","11.798","8.978","6.395","6.584","11.281","11.267","13.364","10.585","12.015","17.288","18.605","20.280","21.222","19.725","15.722","17.281","22.674","40.089"
"Cacequi","4302907","-29.888300000000","-54.822000000000","23.407","33.955","46.480","66.096","83.980","139.763","327.965","780.444","1.693.416","2.589.881","14.710.800","44.792","69.579","262.704","1.845.434","68.008","976.410","5.509.930","35.756.104","607.885","14.458","14.016","12.161","13.794","10.125","23.625","19.373","23.699","30.607","45.577","49.351","37.396","36.096","38.880","55.696","55.458","35.776","43.847","50.547","60.588","71.235","77.789","65.341","76.114","65.427","58.446","81.528","157.133"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","78.650","147.423","129.700","149.124","210.460","404.064","584.820","1.800.750","3.453.580","5.972.270","31.616.740","114.600","158.395","769.078","13.560.451","87.975","2.441.812","15.038.100","126.067.041","2.999.688","23.762","28.686","28.758","28.577","33.057","45.937","36.502","54.237","74.472","83.472","117.807","91.563","85.542","100.122","136.299","151.253","92.370","110.589","123.633","123.646","146.065","159.630","140.727","148.621","154.801","121.216","127.063","329.991"
