"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1974 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1975 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1976 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1977 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1978 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1979 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1980 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1981 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1982 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1983 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1984 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1985 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1986 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1987 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1988 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1989 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1990 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1991 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1992 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1993 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1994 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1995 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1996 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1997 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1998 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1999 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2000 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2001 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2002 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2003 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2004 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2005 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2006 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2007 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2008 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2009 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2010 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2011 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2012 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2013 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2014 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2015 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2016 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2017 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2018 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2019 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2020 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2021 (kg/ha)"
"Alvorada","4300604","-29.991399999990","-51.080900000000","2.533","3.195","2.901","2.500","2.400","1.785","3.000","3.500","4.300","3.125","3.900","4.400","4.550","4.600","4.500","1.800","4.200","4.300","5.000","4.792","2.000","4.600","4.000","4.298","-","4.299","4.301","4.300","4.298","4.446","4.250","-","5.957","5.200","5.400","7.100","7.100","8.711","6.256","7.252","6.000","5.000","4.700","5.000","4.809","3.511","-","6.319"
"Amaral Ferrador","4300638","-30.875599999990","-52.250999999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.235","4.319","4.319","3.883","4.751","4.404","4.246","4.281","4.609","4.077","4.946","4.445","4.975","5.475","5.475","3.647","4.417","4.417","5.069","4.864","4.864","4.135","5.273","5.273","5.200","5.200","5.953","5.953","5.953","5.953","5.592","4.908","5.694"
"Ametista do Sul","4300646","-27.360700000000","-53.183000000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.489","2.800","2.800","1.111","2.800","2.800","3.474","3.474","3.526","3.526","3.526","3.526","3.526","3.474","3.474","3.526","1.474","1.526","3.500","-","-","-","-","-","3.000","-","2.000","2.000","2.000"
"Andr� da Rocha","4300661","-28.628299999990","-51.579700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","1.500","400","1.500","1.500","1.500","1.500","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Anta Gorda","4300703","-28.969799999990","-52.010199999990","948","659","1.500","815","651","540","1.100","699","373","673","700","700","209","500","500","1.364","1.500","-","1.500","1.500","1.055","1.500","898","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.200","-","1.200","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.600","1.600","1.500"
"Ant�nio Prado","4300802","-28.856500000000","-51.288300000000","1.200","1.200","1.500","1.200","1.200","1.200","1.200","1.203","870","800","800","2.000","1.200","1.300","786","2.500","3.000","175","2.000","3.000","2.000","2.000","-","1.000","-","-","1.667","1.667","1.667","1.667","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Arambar�","4300851","-30.909300000000","-51.504600000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.440","5.150","5.500","5.400","5.000","4.250","5.500","5.600","5.550","5.550","5.425","6.733","6.895","6.032","6.848","5.880","6.758","5.739","6.390","7.000","7.350","7.080","7.520","7.250","7.892","7.194","7.200","8.499","9.260"
"Araric�","4300877","-29.616800000000","-50.929099999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.000","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.000","1.500","1.000","1.000","2.000","2.000","2.000","2.000","2.000","2.000","-","-","-"
"Aratiba","4300901","-27.397800000000","-52.297499999990","1.200","2.429","2.400","2.450","1.200","-","1.300","1.100","643","1.100","1.200","900","782","600","840","3.000","1.500","150","1.500","1.500","1.000","1.000","1.303","1.500","1.500","767","600","2.133","850","1.200","300","-","1.800","1.800","1.000","150","1.800","1.800","300","-","-","-","-","-","-","-","-","-"
"Arroio do Meio","4301008","-29.401399999990","-51.955700000000","2.400","2.400","1.875","1.500","1.500","1.000","1.400","1.398","565","1.000","1.148","1.100","717","1.800","1.154","1.182","1.500","400","1.500","1.400","1.400","1.400","3.000","1.400","1.400","1.429","1.333","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Arroio do Sal","4301057","-29.543900000000","-49.889499999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.760","4.800","4.500","4.600","4.600","4.600","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Arroio do Tigre","4301206","-29.334800000000","-53.096600000000","2.200","2.000","2.073","2.200","333","1.819","1.000","1.000","900","1.300","2.000","2.000","800","2.100","450","2.100","1.900","500","2.400","2.400","1.920","1.920","1.100","1.200","1.800","1.800","1.800","2.000","2.000","2.500","2.000","-","1.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Arroio dos Ratos","4301107","-30.087500000000","-51.727499999990","3.000","2.750","2.145","2.972","3.000","2.571","3.000","3.500","3.152","3.700","3.400","4.700","4.300","4.300","4.400","4.000","4.500","5.533","4.000","4.500","3.600","4.000","3.171","4.000","4.000","7.000","6.000","5.000","5.000","4.500","-","4.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Arroio Grande","4301305","-32.232700000000","-53.086199999990","4.020","4.139","3.785","3.730","4.151","3.047","4.200","4.200","4.500","3.600","3.700","4.200","4.200","4.176","4.300","6.300","4.500","5.000","5.000","5.500","5.000","5.750","5.750","5.250","4.250","5.500","5.500","5.725","4.800","5.000","6.000","5.800","6.250","6.700","6.700","6.900","6.300","7.840","7.001","7.600","6.850","8.200","7.430","8.225","7.550","7.484","8.325","8.980"
"Arvorezinha","4301404","-28.873699999990","-52.178100000000","1.250","1.237","1.361","931","650","275","1.500","787","441","1.000","1.250","1.250","500","1.250","600","1.252","1.252","374","1.252","1.197","1.200","1.800","1.188","1.800","1.800","914","867","933","933","1.200","933","-","933","1.200","1.200","1.200","1.200","1.200","1.167","1.250","1.250","1.500","1.500","1.500","1.500","1.500","2.000","2.000"
"Augusto Pestana","4301503","-28.517299999990","-53.988300000000","1.500","3.000","3.000","3.000","-","1.500","2.500","1.440","900","1.560","2.150","2.455","1.353","1.722","1.125","2.000","2.800","1.000","2.800","2.000","2.200","2.200","1.000","1.800","2.400","2.000","1.000","2.000","1.800","2.400","2.400","1.200","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"�urea","4301552","-27.693600000000","-52.050500000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.800","1.800","-","1.800","1.200","1.200","1.200","1.097","1.200","1.500","1.200","1.000","1.240","625","1.250","500","-","1.800","2.000","2.000","2.000","2.000","3.000","600","3.000","3.000","3.000","3.000","1.750","2.000","-","-","-"
"Bag�","4301602","-31.329699999990","-54.099899999990","3.245","4.977","4.335","5.000","4.585","3.273","4.500","4.500","4.655","3.530","5.000","4.300","4.500","4.500","5.000","4.200","3.500","4.500","5.000","4.800","4.500","5.500","6.350","5.000","5.000","6.083","4.866","6.000","5.450","5.000","6.630","6.231","6.555","6.500","6.500","7.519","7.519","8.663","7.500","8.631","7.500","7.500","7.500","7.500","7.500","7.410","7.500","8.795"
"Balne�rio Pinhal","4301636","-30.241900000000","-50.233600000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.600","4.600","5.000","4.849","4.849","5.200","4.849","4.991","5.304","6.087","6.017","6.227","6.239","6.095","6.300","-","7.252","7.251","5.100","8.345","7.720","7.333","7.301","6.364","7.899"
"Bar�o","4301651","-29.372500000000","-51.494900000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.300","1.293","202","1.402","1.402","1.400","1.400","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","2.000","1.000","1.000"
"Bar�o de Cotegipe","4301701","-27.620799999990","-52.379800000000","1.200","2.400","2.637","2.450","1.000","-","1.200","1.118","682","1.200","1.000","630","800","600","360","1.800","1.200","560","1.200","1.200","1.200","1.504","1.809","1.809","1.800","1.809","1.809","1.795","1.250","1.500","1.045","750","1.273","2.000","1.795","533","1.800","1.800","900","1.500","1.600","1.667","-","-","-","-","-","-"
"Bar�o do Triunfo","4301750","-30.389099999990","-51.738399999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.500","4.500","4.500","3.000","5.000","5.000","5.000","5.000","4.500","4.000","4.000","4.000","3.200","5.000","5.000","3.000","5.000","5.000","5.500","7.000","6.000","6.000","6.000","5.435","6.665","6.000","6.000","6.000","6.500"
"Barra do Guarita","4301859","-27.192699999990","-53.710900000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.615","1.615","1.600","900","1.600","1.600","800","800","2.200","2.200","2.200","2.200","2.200","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Barra do Quara�","4301875","-30.202900000000","-57.549700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6.700","5.400","6.740","5.800","6.400","6.500","5.554","6.865","6.500","7.708","7.500","7.800","8.150","7.986","8.300","8.383","8.119","8.300","8.782","7.361","8.590","9.000","8.060","8.500","10.178"
"Barra do Ribeiro","4301909","-30.293900000000","-51.301400000000","3.000","3.279","3.158","3.500","3.069","2.805","3.000","3.991","4.000","2.800","4.000","4.500","4.700","5.000","5.000","5.000","4.500","5.700","4.300","5.000","3.500","5.000","5.250","4.250","4.000","5.200","5.300","4.400","5.780","5.780","6.500","5.800","5.800","6.772","6.800","6.422","6.444","7.014","6.881","7.218","7.086","6.976","6.824","7.400","7.000","6.741","7.980","8.332"
"Barra do Rio Azul","4301925","-27.406800000000","-52.408400000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","1.500","1.500","1.500","1.500","1.794","1.000","1.200","1.500","1.000","1.500","800","-","1.800","1.800","1.800","1.200","1.333","1.333","2.000","2.000","2.000","-","-","-","-","-","-","-"
"Barra Funda","4301958","-27.920500000000","-53.039099999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.786","1.786","1.786","1.000","1.833","1.750","1.833","1.833","1.833","1.833","1.833","1.800","500","1.800","1.800","1.800","1.500","-","-","-","-","-","-","-","-","-","3.000","2.000","3.000"
"Barrac�o","4301800","-27.673900000000","-51.458599999990","900","2.000","2.000","2.000","400","100","1.200","560","600","1.500","1.500","1.500","1.000","1.200","1.440","1.500","1.500","150","1.500","1.500","1.500","1.500","800","2.400","2.400","2.400","2.000","3.000","3.000","3.000","3.000","300","1.500","2.500","2.600","1.600","1.667","3.000","-","-","-","-","-","-","-","-","-","-"
"Barros Cassal","4302006","-29.094700000000","-52.583599999990","1.000","2.500","1.667","2.500","1.500","400","1.000","1.200","533","800","1.500","2.000","700","630","481","1.400","1.400","200","1.000","1.000","1.300","1.754","2.000","1.808","2.000","2.000","2.000","2.400","2.400","2.400","1.600","533","2.400","2.400","2.400","2.400","2.400","2.400","2.000","2.000","2.000","2.000","-","-","-","-","-","-"
"Benjamin Constant do Sul","4302055","-27.508600000000","-52.599499999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","2.000","1.500","1.400","1.400","600","1.400","600","-","1.600","1.571","1.500","1.231","1.200","1.200","1.000","1.000","1.000","1.000","1.000","1.000","2.000","1.000","-","-"
"Bento Gon�alves","4302105","-29.166200000000","-51.516500000000","1.508","1.508","1.667","1.000","700","400","1.100","900","500","1.304","2.000","2.000","600","1.300","1.000","1.000","1.400","-","1.400","1.402","1.400","1.400","750","733","733","750","750","1.000","667","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","-","1.000","-","-","-"
"Boa Vista das Miss�es","4302154","-27.667100000000","-53.310200000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","2.000","2.000","1.200","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","1.600","2.000","2.000","2.000","2.000","4.750","4.750","4.000","4.000","4.000","3.000","3.000","3.000","3.000","3.000","3.000","3.000"
"Boa Vista do Buric�","4302204","-27.669300000000","-54.108199999990","900","1.800","2.000","1.800","810","360","1.800","1.800","1.200","1.000","1.800","1.309","909","1.200","800","1.800","1.200","900","1.625","1.200","1.200","1.333","1.000","1.500","1.500","1.000","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Boa Vista do Cadeado","4302220","-28.571600000000","-53.813800000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.571","2.029","2.400","1.200","-","2.500","2.100","2.100","2.100","1.500","1.500","-","-","-","-","-","-","-","-","-","-"
"Boa Vista do Incra","4302238","-28.809200000000","-53.387400000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.808","1.808","1.808","1.500","800","1.700","1.700","1.700","1.700","1.800","1.700","2.000","-","-","-","-","-","-","-","-","-"
"Boa Vista do Sul","4302253","-29.354399999990","-51.668700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","-","-","-","-","-","-","-","-","-"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","-","-","-","-","-","-","-","1.333","1.667","1.667","1.667","1.667","1.667","1.600","1.600","1.600","1.600","1.000","1.200","1.667","1.667","1.667","-","1.333","1.667","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Bom Princ�pio","4302352","-29.485600000000","-51.354799999990","-","-","-","-","-","-","-","-","-","2.426","2.000","2.500","1.700","1.600","1.200","1.200","1.000","1.000","1.295","1.295","1.295","1.500","1.500","1.500","1.500","1.520","1.520","1.520","1.520","1.520","-","-","-","-","-","2.000","2.000","2.000","2.000","2.000","2.000","2.000","3.600","5.200","2.000","2.600","2.800","6.000"
"Bom Progresso","4302378","-27.539899999990","-53.871600000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.200","3.200","2.944","1.000","2.778","2.929","1.571","1.571","1.462","1.462","900","1.533","1.533","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Bom Retiro do Sul","4302402","-29.608599999990","-51.946399999990","3.000","1.475","3.000","3.299","3.300","2.482","3.000","3.505","2.400","3.000","2.500","4.500","2.625","2.786","3.114","3.957","3.529","3.578","3.556","2.949","2.949","4.947","5.200","5.000","3.800","-","-","-","-","4.938","4.800","4.800","4.778","6.000","6.000","6.000","5.375","2.000","7.041","7.500","5.588","6.500","6.000","6.500","7.000","6.500","3.265","6.324"
"Boqueir�o do Le�o","4302451","-29.304600000000","-52.428400000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.800","2.000","-","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.400","1.600","533","2.000","2.000","2.000","2.000","2.000","2.000","1.000","1.000","1.000","1.000","1.500","3.000","3.000","3.000","2.333","3.000"
"Bossoroca","4302501","-28.729099999990","-54.903500000000","1.200","1.857","1.329","2.000","2.000","1.800","3.260","2.804","3.221","3.044","3.120","2.777","3.600","3.967","3.938","3.419","3.426","3.051","3.805","3.455","1.989","3.961","3.169","3.944","3.961","4.500","3.600","4.000","4.000","3.800","3.215","5.182","4.960","5.527","5.522","6.130","5.796","-","-","-","-","-","-","-","-","-","-","-"
